Kód obce;Jméno obce;Voliči v seznamu;Vydané obálky;Platné hlasy;ANO 2011;Blok proti islam.-Obran.domova;CESTA ODPOVĚDNÉ SPOLEČNOSTI;Dobrá volba 2016;Dělnic.str.sociální spravedl.;Komunistická str.Čech a Moravy;Křesť.demokr.unie-Čs.str.lid.;Národ Sobě;Občanská demokratická aliance;Občanská demokratická strana;REALISTÉ;ROZUMNÍ-stop migraci,diktát.EU;Radostné Česko;Referendum o Evropské unii;SPORTOVCI;SPR-Republ.str.Čsl. M.Sládka;STAROSTOVÉ A NEZÁVISLÍ;Strana Práv Občanů;Strana svobodných občanů;Strana zelených;Svob.a př.dem.-T.Okamura (SPD);TOP 09;Česká pirátská strana;Česká str.sociálně demokrat.;Česká strana národně sociální;Řád národa - Vlastenecká unie
https:;Hoštice-Heroltice;504;328;327;89;0;1;0;3;48;29;0;1;23;1;0;0;0;0;2;9;2;5;1;62;4;21;26;0;0
https:;Rostěnice-Zvonovice;401;226;224;70;0;1;1;0;27;14;0;0;27;0;0;0;0;0;1;12;0;0;3;32;3;21;12;0;0
https:;Nesovice;903;501;496;119;0;0;0;0;85;61;0;0;48;1;3;0;0;0;1;13;6;5;1;70;8;26;47;0;2
https:;Krásensko;344;242;241;41;0;0;0;1;22;61;0;0;15;0;6;1;0;1;0;11;0;4;3;20;6;15;34;0;0
https:;Drysice;451;238;236;85;0;0;0;1;40;11;0;0;16;0;10;0;1;0;1;4;5;4;0;25;2;15;15;0;1
https:;Radslavice;334;207;206;75;0;0;0;0;28;12;0;0;20;2;2;0;1;2;0;4;1;3;4;25;1;10;16;0;0
https:;Kučerov;415;239;235;52;2;0;0;3;27;8;0;1;21;0;1;0;2;0;0;2;3;10;1;32;1;29;40;0;0
https:;Švábenice;791;544;538;134;0;0;0;0;56;115;1;1;22;0;2;0;0;1;0;11;2;0;4;81;7;28;72;0;1
https:;Lysovice;224;143;141;35;0;0;0;0;22;12;0;0;3;0;1;0;0;0;3;3;3;5;2;19;4;14;14;0;1
https:;Studnice;421;242;242;75;0;0;0;3;40;17;0;0;10;1;3;0;0;1;0;4;1;1;3;42;1;13;27;0;0
https:;Nemojany;546;339;337;105;1;0;0;0;23;33;1;0;32;1;3;0;0;2;1;18;4;15;3;49;4;21;21;0;0
https:;Kobeřice u Brna;546;360;355;60;0;0;0;3;41;34;1;0;18;2;2;0;0;0;0;6;1;12;7;31;9;20;106;0;2
